"BRANCH_CITY","BRANCH_CODE","BRANCH_NAME","BRANCH_PHONE","BRANCH_STATE","BRANCH_STREET","BRANCH_ZIP","LAST_UPDATED"
"Syosset",66,"Example Bank","(123)465-6568","NY","Winding Way","11791","2018-04-18 16:51:47"
"Baltimore",67,"Example Bank","(123)443-2768","MD","Jackson Avenue","21206","2018-04-18 16:51:47"
"Fenton",69,"Example Bank","(123)467-0647","MI","Amherst Street","48430","2018-04-18 16:51:47"
"Medford",70,"Example Bank","(123)498-2393","MA","Briarwood Court","02155","2018-04-18 16:51:47"
"Stow",72,"Example Bank","(123)444-5988","OH","Essex Court","44224","2018-04-18 16:51:47"
"Oconomowoc",73,"Example Bank","(123)484-5883","WI","Maple Lane","53066","2018-04-18 16:51:47"
"Dearborn",74,"Example Bank","(123)427-3715","MI","Evergreen Drive","48124","2018-04-18 16:51:47"
"Rockaway",75,"Example Bank","(123)420-4383","NJ","9th Street","07866","2018-04-18 16:51:47"
"WinterSprings",76,"Example Bank","(123)451-3234","FL","8th Avenue","32708","2018-04-18 16:51:47"
"UpperMarlboro",77,"Example Bank","(123)448-9272","MD","Grant Avenue","20772","2018-04-18 16:51:47"
"Mundelein",78,"Example Bank","(123)416-4452","IL","Heather Court","60060","2018-04-18 16:51:47"
"Bettendorf",79,"Example Bank","(123)439-4450","IA","George Street","52722","2018-04-18 16:51:47"
"Enterprise",80,"Example Bank","(123)422-8258","AL","Court Street","36330","2018-04-18 16:51:47"
"Simpsonville",81,"Example Bank","(123)458-3583","SC","Summer Street","29680","2018-04-18 16:51:47"
"Brookfield",83,"Example Bank","(123)424-2554","WI","Creekside Drive","53045","2018-04-18 16:51:47"
"LaCrosse",85,"Example Bank","(123)478-5116","WI","Brown Street","54601","2018-04-18 16:51:47"
"BuffaloGrove",89,"Example Bank","(123)475-0836","IL","Chapel Street","60089","2018-04-18 16:51:47"
"Chillicothe",90,"Example Bank","(123)489-0424","OH","Tanglewood Drive","45601","2018-04-18 16:51:47"
"Davenport",91,"Example Bank","(123)475-9319","IA","Lafayette Avenue","52804","2018-04-18 16:51:47"
"Poughkeepsie",93,"Example Bank","(123)488-5339","NY","Harrison Street","12601","2018-04-18 16:51:47"
"Apopka",95,"Example Bank","(123)466-7289","FL","Madison Street","32703","2018-04-18 16:51:47"
"Seymour",99,"Example Bank","(123)416-4581","IN","Bridge Street","47274","2018-04-18 16:51:47"
"Wellington",100,"Example Bank","(123)480-9695","FL","New Street","33414","2018-04-18 16:51:47"
"SiouxCity",103,"Example Bank","(123)448-3865","IA","Grant Street","51106","2018-04-18 16:51:47"
"Owosso",104,"Example Bank","(123)490-9907","MI","Cambridge Court","48867","2018-04-18 16:51:47"
"LongBranch",105,"Example Bank","(123)472-3165","NJ","Virginia Avenue","07740","2018-04-18 16:51:47"
"Defiance",107,"Example Bank","(123)446-4046","OH","Delaware Avenue","43512","2018-04-18 16:51:47"
"Ames",109,"Example Bank","(123)447-4482","IA","Edgewood Drive","50010","2018-04-18 16:51:47"
"Kernersville",111,"Example Bank","(123)436-9108","NC","River Street","27284","2018-04-18 16:51:47"
"PalmCity",114,"Example Bank","(123)417-2062","FL","Madison Street","34990","2018-04-18 16:51:47"
"MurrellsInlet",115,"Example Bank","(123)490-8194","SC","Jefferson Street","29576","2018-04-18 16:51:47"
"Canonsburg",117,"Example Bank","(123)419-7777","PA","Route 64","15317","2018-04-18 16:51:47"
"Hanover",118,"Example Bank","(123)449-8005","PA","Henry Street","17331","2018-04-18 16:51:47"
"Ashland",119,"Example Bank","(123)412-1204","OH","Fulton Street","44805","2018-04-18 16:51:47"
"Oxnard",121,"Example Bank","(123)436-8280","CA","Warren Street","93035","2018-04-18 16:51:47"
"DeerfieldBeach",123,"Example Bank","(123)436-5113","FL","Willow Avenue","33442","2018-04-18 16:51:47"
"Osseo",124,"Example Bank","(123)413-4552","MN","Bay Street","55311","2018-04-18 16:51:47"
"AllisonPark",125,"Example Bank","(123)469-9441","PA","Cambridge Court","15101","2018-04-18 16:51:47"
"Bethesda",126,"Example Bank","(123)472-3287","MD","Route 10","20814","2018-04-18 16:51:47"
"Valrico",131,"Example Bank","(123)488-0523","FL","Orchard Lane","33594","2018-04-18 16:51:47"
"Nanuet",135,"Example Bank","(123)483-1678","NY","Canterbury Road","10954","2018-04-18 16:51:47"
"Independence",136,"Example Bank","(123)460-1062","KY","Route 11","41051","2018-04-18 16:51:47"
"SanLorenzo",139,"Example Bank","(123)454-7241","CA","Jefferson Street","94580","2018-04-18 16:51:47"
"NewPhiladelphia",144,"Example Bank","(123)463-6138","OH","Chestnut Avenue","44663","2018-04-18 16:51:47"
"Clermont",145,"Example Bank","(123)429-2781","FL","6th Street West","34711","2018-04-18 16:51:47"
"Gettysburg",149,"Example Bank","(123)450-7741","PA","Route 27","17325","2018-04-18 16:51:47"
"WestChester",156,"Example Bank","(123)454-8652","PA","Adams Street","19380","2018-04-18 16:51:47"
"Natchez",158,"Example Bank","(123)429-3585","MS","Chestnut Avenue","39120","2018-04-18 16:51:47"
"GardenCity",160,"Example Bank","(123)469-6702","NY","Beechwood Drive","11530","2018-04-18 16:51:47"
"Yakima",164,"Example Bank","(123)454-0280","WA","Route 30","98908","2018-04-18 16:51:47"
"Conyers",166,"Example Bank","(123)493-5053","GA","Route 41","30012","2018-04-18 16:51:47"
"YubaCity",168,"Example Bank","(123)431-7447","CA","Williams Street","95993","2018-04-18 16:51:47"
"Irvington",170,"Example Bank","(123)441-9610","NJ","Broadway","07111","2018-04-18 16:51:47"
"Victoria",173,"Example Bank","(123)433-7068","TX","Victoria Court","77904","2018-04-18 16:51:47"
"FloralPark",175,"Example Bank","(123)484-2967","NY","Garfield Avenue","11001","2018-04-18 16:51:47"
"Baldwin",178,"Example Bank","(123)461-2707","NY","8th Street West","11510","2018-04-18 16:51:47"
"NewHaven",180,"Example Bank","(123)434-7181","CT","Meadow Street","06511","2018-04-18 16:51:47"
"Quincy",188,"Example Bank","(123)425-9065","MA","Lincoln Avenue","02169","2018-04-18 16:51:47"
"Lititz",192,"Example Bank","(123)493-7904","PA","Glenwood Drive","17543","2018-04-18 16:51:47"
"Acworth",197,"Example Bank","(123)491-4637","GA","Briarwood Drive","30101","2018-04-18 16:51:47"
